case_id,source_date,source_title,source_url,incident_title,service_or_system,first_minute_evidence,observed_symptoms,recent_change,wrong_first_branch,correct_first_branch,loss_created_by_wrong_branch,root_cause,failure_mode,fingerprint,evidence_confidence,review_notes
GH-2026-01-15-DATASTORE-UPGRADE,2026-01-15,GitHub availability report: January 2026,https://github.blog/news-insights/company-news/github-availability-report-january-2026/,GitHub broad latency after datastore major-version upgrade,GitHub web/API and dependent services,"Issues, pull requests, notifications, Actions, repositories, API and login showed elevated latency and timeouts; unauthenticated traffic was hit hardest.",Broad slow queries and timeouts appeared across otherwise distinct services sharing upgraded data stores.,Infrastructure for some data stores was upgraded to a new major version.,,Check shared data-store saturation and resource contention introduced by the infrastructure upgrade; compare affected services by common datastore dependency and roll back the upgrade.,Source does not quantify diagnostic delay; service impact continued until rollback.,Unexpected resource contention after a major-version datastore infrastructure upgrade caused slow queries and distributed timeouts.,context_blindness,latency|timeouts|issues|pull|requests|notifications|actions|repositories|login|datastore|upgrade|contention,high,Correct branch is a curator inference from the source's shared-datastore diagnosis and rollback mitigation.
GH-2026-02-02-DEPENDABOT-COMPUTE-POLICY,2026-02-02,GitHub availability report: February 2026,https://github.blog/news-insights/company-news/github-availability-report-february-2026/,Dependabot degraded after compute security policy blocked VM metadata,Dependabot and hosted compute lifecycle,"Dependabot failed to create a portion of automated pull requests while VM create, delete and reimage operations failed in the underlying compute environment.",Automation backlog and failed VM lifecycle operations followed a telemetry loss and policy rollout.,Security policies were applied to backend storage accounts after telemetry was lost.,,"Inspect the compute-provider control plane and recent security-policy changes affecting VM metadata access, rather than treating Dependabot itself as the primary failure domain.",The incident persisted until the policy changes were rolled back and compute capacity recovered.,"A loss of telemetry cascaded into security policies that blocked access to critical VM metadata, breaking VM lifecycle operations.",context_blindness,dependabot|pull|requests|virtual|machine|create|reimage|metadata|storage|policy|telemetry|compute,high,The source identifies the dependency failure; the first-branch wording is curated.
GH-2026-02-09-CACHE-REWRITE-STORM,2026-02-09,GitHub availability report: February 2026,https://github.blog/news-insights/company-news/github-availability-report-february-2026/,GitHub-wide degradation from user-settings cache rewrite storm,"User-settings cache, background work and HTTPS Git proxy","github.com, API, Actions, HTTPS Git operations and Copilot failed together while SSH Git operations remained healthy.",A broad multi-service outage spared SSH but affected HTTPS and services dependent on shared background infrastructure.,A configuration change altered the user-settings caching mechanism.,,"Use the protocol asymmetry and shared service impact to inspect the user-settings cache rewrite path, background-work coordinator and HTTPS proxy connection exhaustion.",Two related degradation periods produced roughly 2 hours 43 minutes of customer impact.,A cache configuration change triggered simultaneous rewrites that overwhelmed shared background infrastructure and exhausted connections in the HTTPS Git proxy.,context_blindness,github|errors|https|ssh|healthy|actions|copilot|cache|rewrites|background|connections|exhaustion,high,Protocol asymmetry is a strong early discriminator.
GH-2026-02-12-CODESPACES-AUTH-CLAIM,2026-02-12,GitHub availability report: February 2026,https://github.blog/news-insights/company-news/github-availability-report-february-2026/,Regional Codespaces provisioning failures after authorization-claim change,Codespaces networking and pool provisioning,"Codespace create and resume failures spread progressively across Europe, Asia and Australia while US regions remained healthy.",Regional provisioning failure rates peaked near 90%; alerts fired but at insufficient severity.,An authorization claim changed in a core networking dependency.,,Inspect regionally rolled-out networking authorization claims and pool-provisioning dependencies; compare unaffected US regions against impacted regions.,Low-severity alerting delayed incident detection and response.,An authorization-claim change in a core networking dependency caused Codespaces pool-provisioning failures.,context_blindness,codespaces|create|resume|regional|europe|asia|australia|provisioning|authorization|claim|networking|pool,high,Regional contrast is the intended first diagnostic discriminator.
GH-2026-02-12-LFS-HEALTHCHECK-CONFIG,2026-02-12,GitHub availability report: February 2026,https://github.blog/news-insights/company-news/github-availability-report-february-2026/,Git LFS archive downloads failed after network misconfiguration,Git LFS archive service,Repository zip and tar downloads failed only when archives included Git LFS objects; standard archives were unaffected.,A narrow archive-download failure correlated exactly with the LFS execution path.,An incorrect network configuration was deployed in the LFS service.,,"Branch immediately into the LFS-specific service path and its health-check/network configuration, not the generic repository archive pipeline.",Customer impact continued until the network setting was manually corrected.,An incorrect LFS network configuration made health checks fail and caused an internal service to be marked unreachable.,false_pattern_match,archive|download|zip|tar|large|files|objects|standard|unaffected|health|checks|network,high,The LFS/non-LFS split makes this a high-quality branch-selection case.
GH-2026-03-03-RECURRING-CACHE-WRITES,2026-03-03,GitHub availability report: March 2026,https://github.blog/news-insights/company-news/github-availability-report-march-2026/,GitHub degradation repeated after high-volume user-settings cache writes,GitHub shared caching and dependent services,github.com and API failure rates rose sharply; HTTP Git and Copilot degraded while SSH was comparatively unaffected.,The incident pattern resembled an earlier February outage involving user-settings caching.,A large volume of writes reached the user-settings caching mechanism.,Treating the event as an unrelated new multi-service outage instead of checking the known February cache-write failure mode.,Compare the signature against the February cache-rewrite incident and inspect user-settings write volume and shared cache infrastructure first.,The source identifies recurrence; exact diagnostic time lost is not disclosed.,High-volume writes to the user-settings caching mechanism recreated the same underlying failure class as an earlier incident.,context_blindness,github|api|failures|http|ssh|copilot|settings|cache|writes|repeat|previous|incident,high,"Wrong branch is an operational counterfactual based on explicit recurrence, not a disclosed responder action."
GH-2026-03-05-REDIS-LB-MISROUTE,2026-03-05,GitHub availability report: March 2026,https://github.blog/news-insights/company-news/github-availability-report-march-2026/,GitHub Actions queue degradation from Redis load-balancer misrouting,GitHub Actions background queue and Redis load balancer,"Most Actions workflows failed to start within five minutes, queue delays reached roughly 30 minutes, and some jobs returned infrastructure errors.",Job submission continued but processing stalled and backlog accumulated.,Redis resiliency infrastructure updates introduced incorrect load-balancer configuration.,,Inspect the Actions queue's Redis routing and recent load-balancer changes before debugging individual runners or workflow definitions.,The queue required additional recovery time after the misconfiguration was corrected.,Incorrect Redis load-balancer configuration routed internal traffic to the wrong host.,false_pattern_match,actions|workflow|start|delay|queue|infrastructure|errors|redis|load|balancer|routing|host,high,Queue-wide delay distinguishes control-plane routing from per-runner failures.
GH-2026-03-24-TEAMS-UPSTREAM,2026-03-24,GitHub availability report: March 2026,https://github.blog/news-insights/company-news/github-availability-report-march-2026/,GitHub-to-Teams notifications failed during upstream dependency outage,Microsoft Teams integration,GitHub event notifications to Teams failed with HTTP 500s and connection resets while unrelated GitHub services remained available.,Integration-specific failures affected delivery across many installations.,,,Check the Teams integration's upstream dependency health and connection-reset pattern before modifying GitHub event production or customer installation state.,Notifications were unavailable until the upstream incident was mitigated.,An upstream dependency outage caused HTTP 500 errors and connection resets for the Teams integration.,context_blindness,teams|integration|notifications|delivery|http|errors|connection|resets|upstream|dependency|installations,high,Useful dependency-boundary case.
GH-2026-04-01-AUDIT-CREDENTIAL-ROTATION,2026-04-01,GitHub availability report: April 2026,https://github.blog/news-insights/company-news/github-availability-report-april-2026/,Audit-log datastore connectivity lost after credential rotation,GitHub audit log service,Audit-log history was unavailable through API and web UI; events were delayed but ultimately not lost.,The service could not reach its backing datastore immediately after a scheduled credential operation.,A credential rotation failed.,,Inspect secret-rotation state and datastore authentication before investigating event loss or application query logic.,Detection began six minutes after onset; event delivery was delayed up to 29 minutes.,A failed credential rotation caused the audit-log service to lose connectivity to its backing datastore.,anchoring,audit|logs|history|unavailable|events|delayed|datastore|connectivity|credential|rotation|authentication,high,Distinguishes access failure from data-loss failure.
GH-2026-04-09-CODING-AGENT-GLOBAL-RATE-LIMIT,2026-04-09,GitHub availability report: April 2026,https://github.blog/news-insights/company-news/github-availability-report-april-2026/,Copilot coding-agent sessions stalled under globally scoped rate limit,Copilot coding agent workflow creation,New agent sessions queued for tens of minutes and failed in repeated waves after API request volume increased several-fold.,"A single installation's traffic could exhaust capacity for all users, and rate-limited state persisted beyond the true window.",A client update increased traffic to an internal endpoint by 3–4x.,,"Inspect rate-limit scope, shared credentials and cached rate-limit state before scaling workers or debugging agent execution itself.","About 22,700 workflow creations were delayed or failed during the incident.","Rate limiting was incorrectly global rather than per installation, compounded by traffic growth and a cache bug that prolonged the limited state.",context_blindness,copilot|agent|sessions|queue|delay|rate|limit|global|installation|traffic|cache|credentials,high,Strong shared-quota diagnosis case.
GH-2026-04-13-PAGES-DNS-CASCADE,2026-04-13,GitHub availability report: April 2026,https://github.blog/news-insights/company-news/github-availability-report-april-2026/,GitHub Pages failures from shared DNS resolver cascade,GitHub Pages and internal DNS,"Pages returned large volumes of HTTP 500s while services needing internal APIs, providers and storage failed together; cached lookups remained partly healthy.","Cross-service failures correlated with name resolution, with partial protection where DNS entries were already cached.",A new traffic-balancing mechanism had been progressively rolled out.,,Check internal DNS resolver health and the recently introduced traffic-balancing layer; use cache-hit versus cache-miss behavior to confirm.,An initial configuration rollback did not resolve the issue; resolver restart restored service.,A traffic-balancing mechanism failed under a specific load pattern and caused DNS resolvers to fail.,anchoring,pages|http|errors|dns|resolver|cached|lookups|internal|apis|storage|traffic|balancing,high,Rollback failure is a warning against anchoring on only the latest app configuration.
GH-2026-04-27-SEARCH-LB-SATURATION,2026-04-27,GitHub availability report: April 2026,https://github.blog/news-insights/company-news/github-availability-report-april-2026/,GitHub search degraded when fronting load balancers saturated,GitHub search infrastructure,"Issues, pull requests, projects, repositories, Actions, package registry and Dependabot searches timed out or errored together.",Different product surfaces failed only where they depended on shared search connectivity.,,,"Map the failures to the common search dependency and inspect saturation in the load-balancing tier in front of search, not each consuming product.",Some search targets saw failure rates up to 65% during the peak window.,"The load-balancing tier in front of search infrastructure saturated, degrading connectivity.",context_blindness,search|timeouts|issues|pull|requests|projects|repositories|actions|packages|dependabot|load|balancer|saturation,high,Shared-dependency mapping is the key first branch.
